,Year,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,3P%,2P%,FT%,TmNetRtg,Next Rtg,Next WS,Veteran Value,VV Class,Starters
84,1998,Mario Elie,SF,34.0,HOU,73.0,1988.0,12.9,0.575,0.414,0.382,2.3,6.9,17.4,2.1,0.3,15.8,14.4,3.2,0.6,3.8,0.092,0.8,-1.2,0.291,0.566,0.833,-0.9,2.5,4.5,7.05882352941176,0,1
86,1998,Hakeem Olajuwon,C,35.0,HOU,47.0,1633.0,20.8,0.531,0.005,0.335,8.5,24.6,15.8,2.7,4.1,14.8,23.7,2.0,2.5,4.5,0.131,0.1,3.6,0.0,0.486,0.755,-0.9,2.5,6.5,5833.333333333333,0,1
87,1998,Kevin Willis,PF,35.0,HOU,81.0,2528.0,18.3,0.555,0.007,0.293,11.0,20.7,5.8,1.1,1.1,12.6,24.1,4.3,1.7,6.0,0.114,-0.5,-1.9,0.143,0.513,0.793,-0.9,2.5,2.4,1.5333333333333334,0,1
88,1998,Dana Barros,PG,30.0,BOS,80.0,1686.0,18.6,0.583,0.404,0.236,1.8,9.6,28.4,2.5,0.3,13.7,20.0,4.4,1.3,5.6,0.16,3.1,-2.4,0.407,0.499,0.847,-2.7,-2.1,3.4,2.341818181818182,0,0
89,1998,Mookie Blaylock,PG,30.0,ATL,70.0,2700.0,16.1,0.462,0.356,0.143,3.7,10.9,29.5,3.7,0.5,15.0,20.1,1.9,3.7,5.6,0.099,2.2,1.3,0.269,0.46,0.709,4.0,3.1,4.7,3.699699699699701,0,1
90,1998,Tyrone Corbin,SF,35.0,ATL,79.0,2699.0,12.0,0.502,0.189,0.171,3.5,12.0,10.6,2.1,0.2,9.7,15.3,2.9,2.7,5.5,0.098,0.2,0.5,0.348,0.46,0.789,4.0,3.1,2.2,0.990990990990991,0,1
99,1998,Jeff Hornacek,SG,34.0,UTA,80.0,2460.0,19.3,0.587,0.153,0.389,3.5,9.7,23.9,2.4,0.5,12.0,20.8,7.4,2.1,9.5,0.186,4.0,-0.3,0.441,0.489,0.885,7.2,7.4,5.3,3.9583333333333335,0,1
100,1998,Karl Malone,PF,34.0,UTA,81.0,3030.0,27.9,0.597,0.004,0.56,8.3,24.8,20.9,1.7,1.7,11.9,31.8,12.1,4.3,16.4,0.259,5.7,1.4,0.333,0.531,0.761,7.2,7.4,9.6,-13130.081300813006,1,1
101,1998,John Stockton,PG,35.0,UTA,64.0,1858.0,21.8,0.628,0.178,0.452,2.5,8.2,47.8,2.6,0.4,20.8,19.3,6.4,1.6,8.0,0.206,4.8,-2.2,0.429,0.55,0.827,7.2,7.4,6.4,-6333.333333333331,1,1
102,1998,Chris Childs,PG,30.0,NYK,68.0,1599.0,11.6,0.524,0.246,0.356,2.2,10.0,26.6,1.9,0.3,20.1,15.0,1.4,2.3,3.7,0.11,-1.1,0.6,0.31,0.457,0.825,2.7,1.2,2.9,-6846.846846846848,1,1
103,1998,Charles Oakley,PF,34.0,NYK,79.0,2734.0,13.1,0.475,0.009,0.163,9.5,22.3,12.1,2.4,0.6,14.4,15.0,1.4,5.6,7.0,0.122,-1.2,4.1,0.0,0.444,0.851,2.7,1.2,2.1,-22166.666666666664,1,1
104,1998,John Starks,SG,32.0,NYK,82.0,2188.0,14.3,0.504,0.42,0.248,2.6,10.0,18.1,1.9,0.2,12.0,25.6,1.5,3.1,4.6,0.101,1.3,-0.6,0.327,0.441,0.787,2.7,1.2,3.0,-11014.492753623184,1,1
107,1998,Rod Strickland,PG,31.0,WAS,76.0,3020.0,19.6,0.501,0.042,0.435,4.1,11.4,43.1,2.2,0.6,16.5,23.7,5.1,3.0,8.1,0.129,2.5,0.1,0.25,0.442,0.726,0.7,-2.3,4.1,-15637.860082304527,1,1
108,1998,Vinny Del,SG,31.0,SAS,54.0,1721.0,11.1,0.493,0.081,0.194,0.9,8.8,17.5,1.2,0.2,9.3,15.6,1.6,2.1,3.7,0.104,-1.4,0.3,0.436,0.441,0.796,4.4,9.1,1.6,1.9626280892103676,0,1
110,1998,Avery Johnson,PG,32.0,SAS,75.0,2674.0,14.1,0.514,0.019,0.25,1.4,4.9,36.2,1.7,0.5,18.1,16.0,3.5,3.2,6.7,0.12,-0.7,-1.3,0.154,0.485,0.726,4.4,9.1,3.9,2.6654611211573234,0,1
113,1998,David Robinson,C,32.0,SAS,73.0,2457.0,27.8,0.581,0.004,0.62,12.0,23.7,15.9,1.4,5.5,13.0,29.7,7.8,6.0,13.8,0.269,3.7,4.1,0.25,0.512,0.735,4.4,9.1,8.4,2.8466947960618847,0,1
114,1998,Joe Dumars,SG,34.0,DET,72.0,2326.0,14.3,0.549,0.539,0.195,0.7,4.6,18.9,1.0,0.1,8.9,18.9,4.8,1.2,5.9,0.122,2.9,-3.1,0.371,0.468,0.825,1.6,4.0,3.2,2.43413033286451,0,1
