,Year,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,3P%,2P%,FT%,TmNetRtg,Next Rtg,Next WS,Veteran Value,VV Class,Starters
336,2001,Tim Hardaway,PG,34.0,MIA,77.0,2613.0,16.7,0.513,0.496,0.174,1.2,8.1,35.5,1.9,0.2,14.4,24.3,3.1,3.3,6.4,0.118,3.2,-1.5,0.366,0.417,0.801,2.3,-1.7,1.6,0.12698412698412678,0,1
342,2001,Karl Malone,PF,37.0,UTA,81.0,2895.0,24.7,0.572,0.004,0.503,5.0,23.3,24.1,1.7,1.7,12.9,30.0,9.1,4.0,13.1,0.217,4.2,1.7,0.4,0.499,0.793,5.2,0.9,9.8,0.37806637806637766,0,1
345,2001,Bryon Russell,SF,30.0,UTA,78.0,2473.0,14.1,0.565,0.329,0.407,4.8,11.6,10.4,2.1,0.7,12.0,17.5,4.5,2.3,6.8,0.133,2.4,0.4,0.413,0.453,0.779,5.2,0.9,2.3,0.14391534391534375,0,1
347,2001,John Stockton,PG,38.0,UTA,82.0,2397.0,22.3,0.61,0.203,0.427,2.9,8.8,48.7,2.9,0.7,20.8,18.8,8.2,2.6,10.8,0.216,4.9,-1.4,0.462,0.514,0.817,5.2,0.9,10.7,-2222.222222222253,1,1
351,2001,Reggie Miller,SG,35.0,IND,81.0,3181.0,17.3,0.574,0.395,0.296,1.4,8.5,15.0,1.4,0.3,9.1,21.5,8.1,2.2,10.3,0.155,3.9,-1.5,0.366,0.487,0.928,-0.2,0.4,9.5,-18640.77669902914,1,1
353,2001,Eric Piatkowski,SG,30.0,LAC,81.0,2144.0,14.6,0.572,0.442,0.269,3.0,9.7,7.6,1.1,0.6,9.2,17.8,4.5,1.0,5.5,0.123,2.2,-1.6,0.404,0.456,0.873,-2.9,-0.4,4.5,-43636.36363636363,1,1
356,2001,Rod Strickland,PG,34.0,WAS,33.0,1020.0,17.4,0.507,0.048,0.444,2.8,9.4,38.9,2.2,0.3,17.3,20.9,1.5,0.3,1.8,0.084,1.3,-2.1,0.25,0.435,0.782,-6.8,-1.6,4.9,413333.3333333333,0,1
358,2002,Darrell Armstrong,PG,33.0,ORL,82.0,2730.0,16.7,0.553,0.481,0.248,3.4,9.7,25.5,3.0,0.3,16.0,17.9,5.0,2.6,7.6,0.134,3.0,0.0,0.349,0.484,0.888,1.5,0.0,4.9,0.7264038231780171,0,1
362,2002,Brent Barry,SG,30.0,SEA,81.0,3040.0,19.3,0.652,0.49,0.296,2.3,14.6,21.3,2.6,0.9,15.6,16.2,8.8,3.3,12.1,0.191,4.7,1.1,0.424,0.588,0.846,3.3,-0.2,7.3,0.6505376344086023,0,1
363,2002,Gary Payton,PG,33.0,SEA,82.0,3301.0,22.9,0.526,0.15,0.212,2.9,11.1,39.4,2.1,0.6,10.8,27.2,10.1,2.5,12.6,0.183,5.2,-0.6,0.314,0.494,0.797,3.3,-0.2,6.2,0.5080645161290325,0,1
364,2002,Jon Barry,SG,32.0,DET,82.0,1985.0,17.7,0.645,0.494,0.222,2.5,11.3,23.2,2.5,0.7,16.2,16.2,5.0,2.5,7.5,0.18,3.2,0.0,0.469,0.508,0.931,2.3,4.2,5.6,0.7894736842105263,0,0
365,2002,Michael Curry,SG,33.0,DET,82.0,1912.0,6.2,0.521,0.094,0.33,0.9,9.4,10.1,1.3,0.4,16.0,9.3,0.7,1.6,2.3,0.057,-3.2,0.4,0.269,0.472,0.791,2.3,4.2,2.0,1.5333333333333343,0,0
366,2002,Clifford Robinson,PF,35.0,DET,80.0,2855.0,13.5,0.503,0.284,0.193,3.3,12.6,12.5,1.7,2.4,11.5,21.6,0.8,3.5,4.3,0.073,-0.5,0.7,0.378,0.443,0.694,2.3,4.2,4.4,930.23255813954,0,0
368,2002,Derrick Coleman,PF,34.0,PHI,58.0,2080.0,16.2,0.524,0.113,0.309,9.2,18.5,8.5,1.1,1.9,12.5,21.0,2.7,3.2,5.9,0.135,-0.1,0.8,0.337,0.465,0.815,1.8,2.6,4.5,-9491.525423728815,1,1
370,2002,Bruce Bowen,SF,30.0,SAS,59.0,1699.0,8.2,0.468,0.372,0.241,2.9,7.9,8.1,1.9,1.0,13.0,13.9,-0.3,2.2,1.9,0.054,-1.5,1.5,0.378,0.396,0.479,6.9,5.8,5.1,218947.36842105264,0,1
373,2002,Steve Smith,SG,32.0,SAS,77.0,2211.0,13.9,0.588,0.361,0.265,2.4,7.4,11.5,1.3,0.5,12.4,18.3,4.0,2.4,6.4,0.139,1.7,-0.5,0.472,0.445,0.878,6.9,5.8,2.5,-79218.75000000001,1,1
374,2002,Sam Cassell,PG,32.0,MIL,74.0,2605.0,21.3,0.545,0.17,0.274,2.5,10.9,34.3,1.8,0.3,11.7,27.3,7.2,1.4,8.6,0.158,4.2,-1.9,0.348,0.486,0.86,-0.3,0.3,9.6,15116.279069767445,0,1
376,2002,Anthony Mason,PF,35.0,MIL,82.0,3143.0,12.9,0.544,0.002,0.353,4.8,18.3,16.6,1.0,0.5,15.2,12.7,4.4,2.0,6.4,0.097,-0.5,0.8,1.0,0.504,0.697,-0.3,0.3,3.1,-67031.25000000001,1,0
384,2002,Doug Christie,SG,31.0,SAC,81.0,2798.0,15.2,0.578,0.348,0.329,2.9,11.2,17.2,2.9,0.6,16.3,15.6,4.4,4.2,8.6,0.148,1.9,2.0,0.352,0.518,0.851,8.1,6.6,8.9,3418.604651162799,0,1
385,2002,Vlade Divac,C,33.0,SAC,80.0,2420.0,17.0,0.513,0.018,0.475,9.2,20.2,17.9,1.6,2.6,15.4,18.4,3.1,4.2,7.3,0.145,0.1,3.3,0.231,0.477,0.615,8.1,6.6,7.0,-410.95890410958884,1,1
387,2002,Shawn Kemp,PF,32.0,POR,75.0,1232.0,12.1,0.489,0.01,0.322,8.5,19.1,6.9,1.9,2.0,14.8,20.2,0.3,1.6,1.9,0.074,-3.5,0.2,0.0,0.434,0.794,3.3,2.7,2.0,526.3157894736847,0,0
388,2002,Scottie Pippen,SF,36.0,POR,62.0,1996.0,14.9,0.497,0.295,0.244,4.5,14.5,28.7,2.7,1.3,20.5,19.1,1.2,2.6,3.7,0.09,0.5,1.7,0.305,0.455,0.774,3.3,2.7,3.8,270.27027027026935,0,1
395,2002,Kendall Gill,SG,33.0,MIA,65.0,1410.0,7.6,0.414,0.104,0.147,2.4,12.7,12.1,1.7,0.4,10.9,17.1,-1.3,2.0,0.7,0.023,-4.4,0.7,0.136,0.413,0.677,-1.7,-5.8,1.9,601.5037593984969,0,0
396,2002,Jim Jackson,SF,31.0,MIA,55.0,1825.0,11.3,0.511,0.151,0.162,3.5,15.0,13.4,1.3,0.6,15.5,17.8,0.3,2.5,2.8,0.073,-1.7,1.3,0.469,0.438,0.862,-1.7,-5.8,2.5,21.33333333333335,0,0
397,2002,Eddie Jones,SG,30.0,MIA,81.0,3156.0,17.5,0.546,0.319,0.296,2.3,11.6,15.4,2.0,1.9,9.9,22.7,5.6,5.0,10.5,0.16,2.8,1.4,0.39,0.451,0.837,-1.7,-5.8,6.0,5.333333333333335,0,1
400,2002,Rick Fox,SF,32.0,LAL,82.0,2289.0,11.3,0.502,0.344,0.14,4.4,14.3,18.1,1.5,0.7,17.0,15.2,1.5,2.8,4.3,0.091,-0.3,0.9,0.313,0.479,0.824,7.6,2.2,3.6,14.040816326530617,0,1
401,2002,Robert Horry,PF,31.0,LAL,81.0,2140.0,14.5,0.528,0.441,0.3,6.8,17.8,15.3,1.9,3.0,14.5,12.8,3.3,3.6,6.9,0.154,0.9,3.2,0.374,0.416,0.783,7.6,2.2,4.8,3.414565826330532,0,1
404,2002,Lucious Harris,SG,31.0,NJN,74.0,1553.0,15.7,0.556,0.22,0.294,3.5,11.5,12.3,1.8,0.3,9.1,19.3,3.0,2.1,5.1,0.157,0.7,-0.6,0.373,0.489,0.842,4.3,5.4,4.7,13.25000000000002,0,1
405,2002,Aaron Williams,PF,30.0,NJN,82.0,1546.0,15.2,0.568,0.005,0.424,8.3,16.4,8.1,1.0,3.5,13.2,17.4,2.4,2.5,5.0,0.154,-1.3,1.3,0.0,0.529,0.699,4.3,5.4,3.7,3.9969834087481155,0,0
406,2002,Allan Houston,SG,30.0,NYK,77.0,2914.0,15.2,0.54,0.266,0.261,1.5,8.6,12.6,1.0,0.3,10.5,25.9,3.6,1.1,4.7,0.077,1.5,-2.1,0.393,0.452,0.87,-4.2,-1.3,7.2,103.921568627451,0,1
407,2002,Mark Jackson,PG,36.0,NYK,82.0,2367.0,16.3,0.536,0.329,0.186,2.7,12.4,42.5,1.7,0.0,19.0,15.6,4.4,1.7,6.0,0.123,1.6,-1.2,0.405,0.456,0.791,-4.2,-1.3,1.1,-2424.4791666666674,1,1
408,2002,Latrell Sprewell,SF,31.0,NYK,81.0,3326.0,13.7,0.501,0.284,0.244,2.1,8.3,17.5,1.5,0.3,12.4,25.1,1.1,1.7,2.8,0.041,0.7,-1.1,0.36,0.421,0.821,-4.2,-1.3,3.2,424.10714285714334,0,0
409,2002,Charlie Ward,PG,31.0,NYK,63.0,1058.0,14.5,0.496,0.541,0.191,1.6,12.3,31.7,3.4,1.0,18.6,17.8,0.6,1.3,1.9,0.087,0.3,0.6,0.323,0.432,0.81,-4.2,-1.3,3.7,2812.5000000000014,0,0
411,2002,Toni Kukoc,SF,33.0,ATL,59.0,1494.0,14.4,0.511,0.339,0.304,3.3,13.4,23.7,1.7,0.8,16.5,20.7,0.9,1.0,2.0,0.063,0.3,-0.7,0.31,0.474,0.712,-4.4,-3.8,4.0,2968.750000000001,0,1
414,2002,Karl Malone,PF,38.0,UTA,80.0,3040.0,21.1,0.532,0.018,0.457,5.6,21.7,21.8,2.7,1.5,13.5,28.8,5.5,4.3,9.8,0.155,2.0,1.7,0.36,0.456,0.797,0.9,2.6,11.1,393.8137755102038,0,1
416,2002,John Stockton,PG,39.0,UTA,82.0,2566.0,21.9,0.601,0.101,0.414,2.8,9.6,46.3,3.2,0.7,18.5,19.8,8.0,2.6,10.7,0.2,4.5,-1.2,0.321,0.539,0.857,0.9,2.6,9.0,-471.67056074766344,1,1
417,2002,Reggie Miller,SG,36.0,IND,79.0,2889.0,16.5,0.617,0.485,0.356,0.9,7.5,14.7,1.6,0.2,10.2,18.5,7.7,1.9,9.5,0.159,4.2,-1.3,0.406,0.498,0.911,0.4,3.5,7.4,2.764550264550265,0,1
420,2002,Anthony Peeler,SG,32.0,MIN,82.0,2060.0,12.2,0.519,0.414,0.085,2.1,9.4,13.0,1.6,0.4,9.7,17.3,2.4,1.3,3.8,0.087,0.9,-1.2,0.392,0.441,0.862,3.4,2.2,3.4,5.805555555555557,0,0
422,2002,Eric Piatkowski,SG,31.0,LAC,71.0,1718.0,13.8,0.601,0.505,0.24,2.9,9.2,10.4,1.3,0.5,10.9,15.4,3.8,0.8,4.5,0.127,2.3,-1.4,0.466,0.412,0.894,-0.4,-4.0,3.6,3.055555555555556,0,1
423,2002,Walt Williams,SF,31.0,HOU,48.0,1117.0,13.1,0.538,0.462,0.129,3.7,12.9,11.0,0.9,0.6,11.2,19.6,1.4,0.3,1.7,0.073,0.8,-2.4,0.426,0.413,0.784,-5.4,1.5,2.5,61.111111111111114,0,0
424,2003,Darrell Armstrong,PG,34.0,ORL,82.0,2350.0,14.6,0.53,0.361,0.292,4.3,10.2,21.7,3.0,0.4,18.1,16.9,2.7,2.2,4.9,0.1,0.8,0.3,0.336,0.45,0.878,0.0,-7.4,5.3,61.111111111111114,0,1
427,2003,Gary Payton,PG,34.0,SEA,52.0,2123.0,21.4,0.495,0.115,0.236,3.1,10.8,41.6,2.4,0.4,10.7,27.1,4.3,1.9,6.2,0.14,4.4,-0.1,0.298,0.467,0.692,-0.2,-0.8,8.1,6333.33333333333,0,1
428,2003,Jon Barry,SG,33.0,DET,80.0,1473.0,17.9,0.593,0.505,0.236,2.6,12.0,25.5,2.4,0.7,14.8,17.9,3.4,2.2,5.6,0.183,2.9,0.1,0.407,0.495,0.86,4.2,6.5,2.8,-10333.333333333332,1,0
429,2003,Michael Curry,SF,34.0,DET,78.0,1555.0,5.7,0.474,0.236,0.197,1.2,8.6,10.8,1.6,0.2,14.7,9.0,0.2,1.7,2.0,0.06,-3.2,0.9,0.296,0.434,0.8,4.2,6.5,0.3,4.598930481283423,0,0
430,2003,Clifford Robinson,PF,36.0,DET,81.0,2825.0,12.4,0.477,0.277,0.255,3.3,10.1,17.4,1.7,2.3,13.2,20.4,0.4,4.0,4.4,0.075,-0.7,1.4,0.336,0.422,0.676,4.2,6.5,2.0,7.166666666666666,0,0
433,2003,Eddie Jones,SG,31.0,MIA,47.0,1789.0,18.9,0.551,0.35,0.334,2.2,12.7,18.8,2.0,1.4,9.7,23.0,3.9,2.1,6.0,0.162,3.8,0.9,0.407,0.432,0.822,-5.8,0.3,9.1,80.0,0,1
434,2003,Bruce Bowen,SF,31.0,SAS,82.0,2566.0,9.1,0.563,0.478,0.186,2.8,7.8,6.8,1.4,1.1,12.2,10.7,2.4,2.7,5.1,0.096,0.3,1.2,0.441,0.488,0.404,5.8,7.9,5.4,80.0,0,1
438,2003,Nick Van,SG,31.0,DAL,73.0,2026.0,15.6,0.51,0.375,0.173,1.9,9.4,24.4,1.1,0.1,12.1,22.8,2.6,1.3,4.0,0.094,1.8,-2.1,0.378,0.432,0.764,8.3,4.5,1.2,-913.0434782608705,1,0
440,2003,P.J. Brown,PF,33.0,NOH,78.0,2609.0,17.6,0.592,0.005,0.386,10.7,20.7,9.2,1.4,2.2,12.2,14.0,6.4,3.8,10.2,0.188,1.1,2.3,0.0,0.533,0.836,2.4,0.1,8.1,-268.5421994884913,1,1
441,2003,George Lynch,SG,32.0,NOH,81.0,1497.0,12.9,0.464,0.22,0.206,10.7,16.8,11.0,2.4,0.9,11.7,13.5,1.3,2.2,3.5,0.113,-0.6,1.7,0.354,0.425,0.554,2.4,0.1,2.5,-372.6708074534165,1,0
443,2003,David Wesley,SG,32.0,NOH,73.0,2710.0,15.1,0.533,0.305,0.229,1.6,5.9,16.4,2.2,0.2,10.4,21.4,4.5,2.5,7.0,0.124,2.0,-1.2,0.424,0.437,0.781,2.4,0.1,2.8,-782.6086956521747,1,1
444,2003,Sam Cassell,PG,33.0,MIL,78.0,2700.0,22.3,0.565,0.14,0.385,2.5,12.4,29.6,1.7,0.4,11.5,26.5,8.8,0.8,9.6,0.171,4.5,-2.0,0.362,0.487,0.861,0.3,1.1,12.1,21.73913043478261,0,1
446,2003,Toni Kukoc,PF,34.0,MIL,63.0,1704.0,18.0,0.551,0.456,0.336,4.6,13.7,21.8,2.5,1.3,15.6,21.4,2.9,1.1,4.0,0.112,3.0,-0.5,0.361,0.49,0.706,0.3,1.1,3.1,1.6000000000000003,0,1
448,2003,Kevin Ollie,PG,30.0,MIL,53.0,1127.0,13.5,0.513,0.02,0.357,1.2,9.1,24.3,1.7,0.3,10.9,13.7,2.0,0.1,2.1,0.09,-0.9,-2.3,0.2,0.464,0.747,0.3,1.1,2.4,36.0,0,0
449,2003,Gary Payton,PG,34.0,MIL,28.0,1085.0,20.5,0.523,0.143,0.249,2.5,6.8,33.8,2.0,0.5,9.6,25.0,2.8,0.1,2.9,0.128,3.9,-2.9,0.294,0.495,0.746,0.3,1.1,8.1,-0.0,0,1
450,2003,Calbert Cheaney,SG,31.0,UTA,81.0,2351.0,9.8,0.514,0.038,0.106,3.9,10.5,11.7,1.5,0.4,13.7,15.5,1.0,1.7,2.8,0.056,-1.2,-0.1,0.4,0.503,0.58,2.6,-1.3,2.3,-892.8571428571429,1,0
452,2003,Karl Malone,PF,39.0,UTA,81.0,2936.0,21.7,0.534,0.011,0.482,4.8,20.5,24.4,2.5,0.8,11.8,27.8,6.9,4.3,11.1,0.182,2.8,1.6,0.214,0.464,0.763,2.6,-1.3,4.3,-3063.0630630630626,1,1
454,2003,Doug Christie,SG,32.0,SAC,80.0,2710.0,15.0,0.59,0.332,0.312,2.5,10.6,19.3,3.3,0.9,18.5,12.7,4.2,4.7,8.9,0.157,1.3,2.9,0.395,0.522,0.81,6.6,5.4,5.7,0.595982142857143,0,1
455,2003,Vlade Divac,C,34.0,SAC,80.0,2384.0,15.6,0.519,0.038,0.383,7.4,17.8,16.7,1.8,2.9,16.6,17.0,2.6,4.4,7.0,0.141,-0.6,3.6,0.24,0.475,0.713,6.6,5.4,5.3,0.8823529411764707,0,1
456,2003,Jim Jackson,SF,32.0,SAC,63.0,1309.0,12.4,0.501,0.154,0.119,7.2,13.8,13.6,1.2,0.2,14.1,19.1,0.8,1.7,2.5,0.09,-1.2,-0.1,0.451,0.44,0.855,6.6,5.4,6.6,21.428571428571434,0,0
458,2003,Aaron McKie,SF,30.0,PHI,80.0,2374.0,13.7,0.497,0.168,0.201,3.0,14.5,18.6,2.9,0.3,13.1,15.8,2.1,3.0,5.1,0.104,0.0,1.4,0.33,0.449,0.836,2.6,-2.6,4.8,3.642857142857146,0,1
464,2003,Allan Houston,SG,31.0,NYK,82.0,3108.0,17.7,0.563,0.307,0.27,1.0,7.9,13.2,0.9,0.2,9.8,27.0,6.6,0.6,7.2,0.111,3.2,-3.1,0.396,0.467,0.919,-1.3,-1.6,3.1,0.37630662020905936,0,1
465,2003,Latrell Sprewell,SF,32.0,NYK,74.0,2859.0,14.3,0.497,0.319,0.193,1.8,10.1,19.7,1.9,0.6,12.3,22.6,1.6,1.6,3.2,0.054,1.0,-0.5,0.372,0.417,0.794,-1.3,-1.6,5.7,21.428571428571434,0,0
466,2003,Kurt Thomas,C,30.0,NYK,81.0,2577.0,16.7,0.511,0.003,0.179,7.1,22.2,11.3,1.7,2.8,11.1,22.4,2.3,3.0,5.4,0.1,-0.9,1.8,0.667,0.483,0.75,-1.3,-1.6,5.0,-1687.2427983539108,1,1
470,2003,Robert Horry,PF,32.0,LAL,80.0,2343.0,12.4,0.488,0.372,0.282,8.6,16.1,14.3,2.1,1.9,17.3,12.2,2.3,2.5,4.8,0.098,0.2,1.8,0.288,0.445,0.769,2.2,4.1,4.6,-949.0740740740749,1,1
472,2003,Kendall Gill,SG,34.0,MIN,82.0,2068.0,10.6,0.477,0.087,0.238,2.9,10.5,11.4,2.0,0.5,12.6,18.8,0.1,1.8,1.9,0.043,-2.2,-0.3,0.322,0.432,0.764,2.2,5.7,0.4,-3324.099722991689,1,0
473,2003,Anthony Peeler,SG,33.0,MIN,82.0,2245.0,11.0,0.499,0.348,0.082,2.1,9.9,15.8,1.7,0.4,11.5,14.4,1.7,1.7,3.4,0.072,0.0,-0.3,0.41,0.416,0.78,2.2,5.7,2.2,-1486.0681114551076,1,0
474,2003,Lucious Harris,SG,32.0,NJN,77.0,1973.0,13.5,0.494,0.189,0.262,3.7,9.8,13.4,1.4,0.3,8.1,20.0,2.2,2.5,4.7,0.114,-0.6,-0.8,0.346,0.429,0.804,5.4,2.6,2.5,-1970.8846584546468,1,1
475,2003,Rodney Rogers,PF,31.0,NJN,68.0,1303.0,11.7,0.483,0.29,0.198,5.4,17.7,13.8,2.0,1.8,15.5,20.3,-0.1,2.5,2.3,0.086,-2.0,1.4,0.333,0.43,0.756,5.4,2.6,3.1,1361.058601134216,0,0
476,2003,Aaron Williams,C,31.0,NJN,81.0,1597.0,11.9,0.504,0.002,0.296,9.8,13.9,9.0,0.9,2.7,14.6,16.4,1.2,2.4,3.7,0.11,-2.3,1.3,0.0,0.454,0.785,5.4,2.6,3.4,-912.1621621621628,1,0
478,2003,Glenn Robinson,SF,30.0,ATL,69.0,2591.0,16.7,0.519,0.211,0.245,3.9,15.7,15.5,1.9,0.7,15.2,28.8,1.0,1.9,2.9,0.055,0.3,-1.3,0.342,0.456,0.876,-3.8,-4.8,1.6,-5043.1034482758605,1,0
482,2003,Reggie Miller,SG,37.0,IND,70.0,2117.0,15.9,0.597,0.499,0.361,1.1,7.8,13.4,1.5,0.1,8.2,17.2,5.6,1.8,7.4,0.168,3.2,-1.3,0.355,0.527,0.9,3.5,6.3,8.9,2280.405405405405,0,1
487,2003,Jalen Rose,SF,30.0,CHI,82.0,3351.0,14.9,0.508,0.227,0.295,2.3,9.2,21.1,1.1,0.5,13.7,27.4,2.5,1.1,3.6,0.052,1.4,-2.2,0.37,0.416,0.854,-5.1,-6.5,1.3,-12777.777777777777,1,0
488,2003,Eric Williams,SF,30.0,BOS,82.0,2350.0,13.1,0.538,0.191,0.466,6.7,11.8,10.4,1.9,0.6,12.3,15.6,3.4,2.6,6.0,0.123,-0.9,0.6,0.336,0.467,0.75,-0.6,-1.5,1.9,-13666.666666666666,1,1
489,2004,Shandon Anderson,SG,30.0,NYK,80.0,1974.0,10.1,0.5,0.227,0.285,3.1,9.7,10.2,1.8,0.7,15.7,17.7,0.2,1.5,1.7,0.042,-1.6,-0.1,0.281,0.463,0.764,-1.6,-2.7,2.2,325.00000000000006,0,0
493,2004,Kurt Thomas,PF,31.0,NYK,80.0,2548.0,14.1,0.503,0.004,0.153,6.7,23.1,10.2,1.2,2.4,13.0,18.5,1.7,3.3,5.0,0.094,-1.5,1.9,0.0,0.475,0.835,-1.6,-2.7,5.2,325.00000000000006,0,1
498,2004,David Wesley,SG,33.0,NOH,61.0,2001.0,12.6,0.483,0.356,0.228,1.6,6.2,16.1,1.9,0.5,10.2,22.4,1.4,1.4,2.8,0.067,0.1,-2.0,0.323,0.425,0.753,0.1,-7.7,4.4,325.00000000000006,0,1
501,2004,Jon Barry,SG,34.0,DEN,57.0,1101.0,14.6,0.535,0.465,0.239,2.5,10.2,20.6,2.7,0.5,13.9,15.2,1.7,1.1,2.8,0.122,1.2,-0.5,0.37,0.434,0.845,1.0,2.2,3.7,107.14285714285714,0,0
503,2004,Bruce Bowen,SF,32.0,SAS,82.0,2624.0,8.2,0.512,0.422,0.227,1.9,8.8,6.7,1.7,0.9,14.0,11.3,0.8,4.6,5.4,0.098,-1.5,2.5,0.363,0.462,0.579,7.9,8.3,6.1,107.14285714285714,0,1
504,2004,Robert Horry,PF,33.0,SAS,81.0,1290.0,14.5,0.496,0.31,0.307,9.5,14.0,12.8,2.0,2.8,12.2,16.1,1.7,2.9,4.6,0.171,0.2,3.1,0.38,0.417,0.645,7.9,8.3,4.6,107.14285714285714,0,1
505,2004,Sam Cassell,PG,34.0,MIN,81.0,2838.0,22.8,0.566,0.146,0.261,1.9,8.7,38.0,1.9,0.5,13.5,27.2,8.8,3.3,12.1,0.205,5.3,-1.0,0.398,0.504,0.873,5.7,1.6,3.8,3.498795180722891,0,1
506,2004,Fred Hoiberg,SG,31.0,MIN,79.0,1804.0,13.6,0.611,0.449,0.303,1.4,14.8,9.0,2.0,0.4,9.2,12.5,3.6,2.6,6.1,0.163,0.9,1.0,0.442,0.483,0.845,5.7,1.6,5.2,16.266666666666676,0,0
507,2004,Latrell Sprewell,SF,33.0,MIN,82.0,3100.0,14.7,0.493,0.236,0.233,2.2,8.9,15.4,1.5,0.5,10.2,23.6,2.5,3.2,5.7,0.088,0.2,-0.7,0.331,0.433,0.814,5.7,1.6,1.9,3.5999999999999996,0,0
509,2004,Clifford Robinson,PF,37.0,GSW,82.0,2846.0,10.8,0.473,0.332,0.183,2.1,10.6,16.0,1.3,1.8,14.5,19.3,-0.1,2.1,2.0,0.033,-1.0,0.3,0.357,0.403,0.711,-1.1,-2.2,1.1,5.333333333333334,0,0
510,2004,Nick Van,PG,32.0,GSW,39.0,1255.0,13.1,0.469,0.313,0.207,1.4,7.9,28.5,0.9,0.1,13.0,22.1,0.8,0.4,1.2,0.045,0.3,-2.7,0.307,0.429,0.707,-1.1,-2.2,1.6,240.0,0,0
516,2004,Donyell Marshall,PF,30.0,TOR,66.0,2580.0,19.7,0.558,0.337,0.183,8.1,23.6,7.2,1.7,2.9,9.0,19.7,4.8,4.9,9.8,0.181,1.7,2.0,0.403,0.5,0.741,-3.4,-1.8,6.0,3.2517162471395884,0,1
517,2004,Jalen Rose,PG,31.0,TOR,50.0,1968.0,12.8,0.487,0.197,0.239,1.6,10.3,27.3,1.1,0.7,17.1,24.7,-0.6,1.8,1.3,0.031,-1.1,-0.8,0.311,0.434,0.822,-3.4,-1.8,4.8,126.08695652173914,0,0
520,2004,Jerome Williams,PF,30.0,CHI,53.0,1230.0,15.4,0.516,0.025,0.452,12.3,18.7,8.3,3.0,0.3,13.2,14.0,1.6,1.7,3.3,0.13,-0.6,1.7,0.0,0.478,0.675,-6.5,1.4,2.6,5.94409937888199,0,0
523,2004,Damon Stoudamire,PG,30.0,POR,82.0,3118.0,14.8,0.508,0.419,0.142,2.0,9.7,27.0,1.8,0.2,14.3,19.2,4.5,1.4,5.9,0.091,2.2,-1.5,0.365,0.426,0.876,-1.5,-4.3,5.7,-5254.237288135597,1,0
525,2004,Juwan Howard,PF,30.0,ORL,81.0,2877.0,15.6,0.513,0.001,0.336,6.6,16.1,10.0,1.0,0.6,11.7,23.9,3.6,0.0,3.6,0.059,-0.4,-2.4,0.0,0.453,0.809,-7.4,-2.3,3.2,-17222.222222222215,1,0
526,2004,Michael Finley,SG,30.0,DAL,72.0,2778.0,17.8,0.539,0.319,0.167,3.0,9.9,11.7,1.6,1.0,6.3,20.9,7.0,0.5,7.6,0.131,3.8,-1.5,0.405,0.461,0.85,4.5,5.9,5.5,-42828.94736842104,1,1
528,2004,Eddie Jones,SG,32.0,MIA,81.0,2998.0,16.7,0.538,0.414,0.288,1.5,10.6,16.1,1.7,0.9,9.0,22.5,6.2,3.0,9.1,0.146,3.0,-0.7,0.37,0.437,0.835,0.3,6.7,8.0,0.18801652892562087,0,1
532,2004,Gary Payton,PG,35.0,LAL,82.0,2825.0,17.3,0.528,0.161,0.246,2.8,11.0,26.9,1.8,0.5,11.7,20.4,5.3,2.7,8.1,0.137,2.3,-0.2,0.333,0.497,0.714,4.1,-3.2,5.4,-5987.654320987653,1,1
533,2004,Lucious Harris,PG,33.0,NJN,69.0,1504.0,11.1,0.481,0.218,0.168,3.1,7.9,15.2,1.5,0.1,9.6,17.2,0.9,1.7,2.5,0.081,-1.9,-1.1,0.376,0.412,0.846,2.6,-1.7,1.3,-8622.222222222223,1,1
534,2004,Jason Kidd,PG,30.0,NJN,67.0,2450.0,19.7,0.485,0.306,0.26,4.1,16.5,44.8,2.7,0.4,16.7,24.6,2.8,4.4,7.2,0.141,3.1,1.5,0.321,0.411,0.827,2.6,-1.7,7.2,0.0,0,1
538,2004,Toni Kukoc,PF,35.0,MIL,73.0,1522.0,16.1,0.519,0.332,0.393,4.5,15.7,21.5,2.0,1.0,15.6,21.0,1.7,1.3,3.1,0.096,1.6,0.1,0.292,0.479,0.729,1.1,-3.0,1.5,0.32680722891566266,0,1
539,2004,Aaron McKie,SF,31.0,PHI,75.0,2112.0,13.9,0.55,0.298,0.192,2.5,11.5,16.8,2.2,0.9,14.1,16.2,2.5,2.3,4.8,0.108,0.6,0.7,0.436,0.469,0.757,-2.6,-0.7,2.0,0.2891566265060241,0,1
541,2004,Eric Snow,PG,30.0,PHI,82.0,2966.0,13.5,0.494,0.025,0.442,2.5,8.6,33.0,1.8,0.2,18.0,16.5,3.2,2.3,5.5,0.09,-0.5,-0.7,0.111,0.42,0.797,-2.6,-0.7,1.9,0.2576974564926372,0,0
542,2004,Reggie Miller,SG,38.0,IND,80.0,2254.0,16.1,0.6,0.562,0.278,0.9,9.0,19.1,1.6,0.4,9.3,15.4,6.0,2.9,8.9,0.189,3.3,-0.4,0.401,0.485,0.885,6.3,1.0,6.6,0.6526977475117861,0,1
