Year,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,FG%,3P%,2P%,eFG%,FT%,PF,Target
1982.0,Mike Bantom,SF,30.0,TOT,82.0,2016.0,12.7,0.505,0.008,0.375,9.7,14.4,8.1,1.5,1.7,15.2,20.2,0.2,2.7,2.9,0.069,-1.6,0.5,0.469,0.333,0.47,0.471,0.629,272.0,
1982.0,Allan Bristow,SF,30.0,DAL,82.0,2035.0,12.6,0.502,0.036,0.329,6.5,12.8,29.3,1.6,0.2,22.4,14.9,1.3,1.2,2.5,0.059,-0.5,-0.1,0.437,0.167,0.447,0.44,0.817,222.0,
1982.0,Fred Brown,SG,33.0,SEA,82.0,1785.0,15.2,0.501,0.089,0.149,2.6,5.8,20.1,1.9,0.1,9.5,23.6,1.7,2.2,3.9,0.104,0.1,-1.6,0.455,0.325,0.468,0.47,0.86,111.0,3.6
1982.0,Don Buse,PG,31.0,IND,82.0,2529.0,14.8,0.539,0.276,0.18,1.9,7.8,22.5,3.2,0.6,11.4,13.7,3.7,3.4,7.1,0.135,1.3,1.3,0.455,0.386,0.482,0.509,0.813,176.0,
1982.0,M.L. Carr,SF,31.0,BOS,56.0,1296.0,11.9,0.495,0.042,0.284,4.9,7.8,12.6,2.4,0.9,12.0,16.2,1.0,1.8,2.8,0.103,-0.5,1.3,0.45,0.294,0.457,0.456,0.707,136.0,
1982.0,Harvey Catchings,PF,30.0,MIL,80.0,1603.0,8.1,0.45,0.0,0.308,9.6,15.6,7.2,1.3,4.8,27.0,8.9,-0.6,3.0,2.3,0.07,-3.6,4.4,0.42,,0.42,0.42,0.594,237.0,3.1
1982.0,Charlie Criss,PG,33.0,TOT,55.0,1392.0,13.3,0.524,0.058,0.319,1.1,5.9,19.2,1.5,0.3,12.6,19.5,1.6,0.4,2.1,0.072,-0.5,-2.5,0.446,0.345,0.452,0.456,0.887,96.0,
1982.0,Julius Erving,SF,31.0,PHI,81.0,2789.0,25.9,0.593,0.008,0.377,9.3,13.0,18.1,2.8,2.9,11.4,28.1,8.7,4.6,13.3,0.229,5.6,2.1,0.546,0.273,0.548,0.547,0.763,229.0,10.9
1982.0,Chris Ford,SG,33.0,BOS,76.0,1591.0,7.8,0.458,0.14,0.124,3.7,3.8,11.1,1.2,0.3,9.9,13.3,0.7,1.4,2.1,0.063,-1.6,-0.5,0.418,0.317,0.434,0.44,0.696,143.0,
1982.0,Mike Gale,PG,31.0,GSW,75.0,1793.0,10.9,0.524,0.013,0.174,2.2,9.4,17.8,3.2,0.9,23.9,11.9,0.3,2.1,2.4,0.063,-1.6,2.1,0.496,0.0,0.503,0.496,0.785,173.0,
1982.0,Artis Gilmore,C,32.0,CHI,82.0,2796.0,22.4,0.702,0.001,0.659,9.5,23.7,7.5,0.8,4.3,17.4,19.6,8.3,3.8,12.1,0.208,2.9,1.6,0.652,1.0,0.652,0.653,0.768,287.0,11.0
1982.0,Steve Hawes,PF,31.0,ATL,49.0,1317.0,14.5,0.536,0.027,0.341,7.6,19.9,16.0,1.4,1.6,17.0,16.9,1.2,2.1,3.2,0.118,-0.2,2.5,0.481,0.4,0.483,0.486,0.762,156.0,1.0
1982.0,Elvin Hayes,PF,36.0,HOU,82.0,3032.0,14.4,0.513,0.005,0.384,9.4,18.1,6.6,1.0,1.9,13.9,20.2,2.3,2.9,5.1,0.081,-0.6,0.4,0.472,0.0,0.474,0.472,0.664,287.0,2.4
1982.0,Spencer Haywood,PF,32.0,WSB,76.0,2086.0,13.2,0.535,0.004,0.314,7.7,14.3,4.6,1.0,1.8,15.6,22.4,0.4,3.2,3.6,0.083,-2.2,0.3,0.476,0.0,0.478,0.476,0.842,249.0,
1982.0,Tom Henderson,SG,30.0,HOU,75.0,1721.0,11.0,0.502,0.005,0.372,2.0,7.0,22.8,1.6,0.2,18.3,13.7,1.2,0.9,2.1,0.059,-1.8,-1.1,0.454,0.0,0.456,0.454,0.7,120.0,
1982.0,Dan Issel,C,33.0,DEN,81.0,2472.0,23.1,0.608,0.005,0.53,7.7,18.3,9.8,1.2,1.1,10.0,26.0,9.0,0.8,9.8,0.19,3.7,-2.4,0.527,0.667,0.526,0.528,0.834,245.0,8.4
1982.0,George Johnson,C,33.0,SAS,75.0,1578.0,10.6,0.504,0.0,0.328,10.3,20.5,5.7,0.6,8.2,29.2,7.9,-0.1,2.6,2.5,0.076,-3.2,5.7,0.467,,0.467,0.467,0.672,259.0,
1982.0,Bobby Jones,PF,30.0,PHI,76.0,2181.0,19.3,0.62,0.004,0.452,5.9,14.1,12.0,2.2,3.0,14.1,19.6,4.8,3.4,8.2,0.181,2.0,2.2,0.564,0.0,0.567,0.564,0.79,211.0,6.4
1982.0,Caldwell Jones,C,31.0,PHI,81.0,2446.0,11.3,0.571,0.006,0.471,7.9,24.0,5.0,0.7,3.4,21.6,12.2,1.1,4.1,5.2,0.102,-2.3,2.5,0.497,0.0,0.5,0.497,0.817,301.0,2.5
1982.0,Bob Lanier,C,33.0,MIL,74.0,1986.0,17.4,0.596,0.003,0.332,5.5,16.5,16.0,1.7,1.6,16.6,20.7,3.2,3.4,6.6,0.16,0.8,1.4,0.558,0.0,0.56,0.558,0.752,211.0,
1982.0,George McGinnis,PF,31.0,IND,76.0,1341.0,11.3,0.395,0.008,0.421,7.4,25.2,20.7,3.5,1.2,22.6,18.0,-2.5,2.9,0.4,0.015,-4.3,4.3,0.373,0.0,0.376,0.373,0.453,198.0,
1982.0,Steve Mix,SF,34.0,PHI,75.0,1235.0,15.8,0.57,0.01,0.431,8.8,11.6,10.1,1.6,0.8,12.4,18.3,2.3,1.4,3.7,0.144,0.7,-0.3,0.506,0.25,0.509,0.508,0.791,86.0,
1982.0,Calvin Murphy,PG,33.0,HOU,64.0,1204.0,13.2,0.47,0.025,0.17,1.8,3.9,20.6,1.8,0.0,10.5,26.5,0.7,0.6,1.3,0.051,-1.1,-3.7,0.427,0.063,0.437,0.428,0.909,142.0,1.6
